model,no_trades,win_rate,avg_win,avg_loss,best_trade,worst_trade,ev,std,total_log_return,compound_return,max_drawdown,equity_trough,equity_peak,sharpe
GARCH Volatility Regime,172,0.5290697674418605,0.007241708210865177,-0.007829569742690615,0.040365858412737786,-0.02528771237033918,0.0001441877792487875,0.010193771689807353,0.024800298030791645,1.0251103835196729,-0.1558331444789043,-0.01306534090404691,0.1446008005883822,0.08713131382573899
OU Mean Reversion,165,0.2727272727272727,0.006416379690431655,-0.0038281724712903656,0.025324156568475226,-0.023101955542573663,-0.001034203699911633,0.007889377876134524,-0.17064361048541943,0.8431219997742797,-0.1954141978477319,-0.1954141978477319,0.0,-0.8075028083934345
Copula Mispricing,151,0.11920529801324503,0.005924112413309654,-0.000291002703328721,0.040365858412737786,-0.022624811107372845,0.00044987194633678066,0.004356122080012766,0.0679306638968539,1.0702910960921703,-0.022624811107372845,-0.002878250038928592,0.06978830402407524,0.6361647214043296
LSTM Neural Network,162,0.5185185185185185,0.007560786953573237,-0.007798798900525976,0.040365858412737786,-0.025324156568475226,0.00016543080159954178,0.010391381338490342,0.026799789859125896,1.0271621339001515,-0.11655161187406748,-0.053616030232970666,0.06293558164109682,0.09806720633748105
Transformer,162,0.47530864197530864,0.007875621039878412,-0.0074939952737710595,0.040365858412737786,-0.02528771237033918,-0.00018868381604877959,0.01039098266504686,-0.030566778199901848,0.9698956620182188,-0.16193984987859367,-0.05533736556221434,0.10660248431637934,-0.11185586044428494
Deep RL Policy,171,0.5029239766081871,0.007605212825502065,-0.00741817608912993,0.040365858412737786,-0.025324156568475226,0.00013744640594814863,0.01020252311253944,0.023503335417133252,1.023781715480009,-0.13075523014832585,-0.09300439195085253,0.04827392277944577,0.08298632125615946
