strategy,total_return,return_pct,return_before_costs,return_after_costs,cagr,max_drawdown,sharpe,sortino,profit_factor,win_rate,avg_win,avg_loss,expectancy_per_trade,exposure,turnover,in_sample_return,out_of_sample_return,holdout_return,walk_forward_consistency,walk_forward_mean_oos_return,robustness_score
00_no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_btc_buy_and_hold,234.2108375853497,23421.08375853497,234.3520488146379,234.2108375853497,0.6223127905543093,-0.8339900882218974,1.0591324527228505,0.9904701280034837,0.0,0.0,0.0,0.0,0.0,0.999878699660359,0.0886098981077147,152.1571214400815,0.14174380872985948,0.37241978090717476,0.8,0.9885828275643309,1.0
02_btc_ma_20_50_200,50.20665511243723,5020.665511243723,53.06206512172605,50.20665511243723,0.4173047376513863,-0.3765305847619328,1.2517147391200651,0.8298113453693737,6.712699647010702,0.5,0.47549756424239836,-0.070835519127412,0.20233102255749327,0.40599223677826296,8.033985428527446,48.850164706086325,-0.22593532386789228,0.3470082371986076,0.4,0.40392722328387265,1.0
03_btc_20d_breakout,196.91232465044308,19691.232465044308,216.05379670058167,196.91232465044308,0.5976815660471353,-0.5371835304119352,1.4452146807253785,1.147654679590705,4.585703913217311,0.49122807017543857,0.3580732261865977,-0.07539210557467366,0.13753823283437194,0.5685346918971373,13.48782654638683,143.3798245496669,0.39426739260216603,-0.016848922501634278,0.6,0.6470608154407252,1.0
04_btc_20d_zscore_reversal,-0.591398439955874,-59.139843995587405,-0.5593939724572914,-0.591398439955874,-0.07624386777189018,-0.7939505807870569,-0.13335247789145538,-0.049348061202576336,0.779737676671121,0.5932203389830508,0.05566348214348381,-0.10410669368422186,-0.009327775820328664,0.19796215429403202,11.246688247445501,-0.5729230438806443,-0.18663660722476239,0.17567109300216033,0.6,-0.026341751886199492,0.0
05_btc_gold_ratio_mr,0.15954213055851008,15.954213055851007,0.2084541071764805,0.15954213055851008,0.013202897575455674,-0.6688229944853872,0.19281483971855365,0.08055651161281493,1.3050790877600775,0.625,0.11858906336339546,-0.1514455643283801,0.01732607797897962,0.25109170305676853,6.139885976043695,0.014725348780463943,0.19546826246415372,-0.04412748892983531,0.4,0.028315827392572858,0.6666666666666666
06_btc_momentum_plus_gold_regime,24.568853199218946,2456.8853199218947,26.56391599219294,24.568853199218946,0.33271458442284474,-0.3152265338430795,1.2254955629815594,0.7883939970060702,7.0031260706837415,0.5333333333333333,0.3310899635043826,-0.05403137483177579,0.15136667228084197,0.40599223677826296,11.134359331363251,20.42552138819721,-0.17458704302843142,0.4675613269470229,0.4,0.24534463889472802,1.0
07_btc_momentum_plus_gold_shock_filter,53.015650928367805,5301.56509283678,56.55718718839255,53.015650928367805,0.4240275335812369,-0.3952476627431516,1.295568285123565,0.8504359487554223,7.512729082793017,0.5666666666666667,0.4038066308836187,-0.07028801640286748,0.1983656170594747,0.40599223677826296,9.411984745144878,46.90175183937543,-0.24624195102980373,0.518531988633711,0.4,0.3840663828140845,1.0
08_ratio_mr_plus_beta_corr_stability,0.21557725326099808,21.557725326099806,0.299480674777598,0.21557725326099808,0.017448824623812698,-0.6282500995380079,0.20091852073735433,0.07977264681171863,1.3802979447428003,0.6666666666666666,0.10265463112870463,-0.1487427138752031,0.018855516127402046,0.25109170305676853,9.86816112856505,-0.24112809862384454,0.6761396920023834,-0.04433895934453336,0.4,0.05044322581466367,1.0
09_residual_spread_stationary_only,0.15502366244208288,15.502366244208288,0.16270733049362796,0.15502366244208288,0.0128524235992169,-0.10664411996984546,0.3347630938788265,0.03684084506428023,2.2670338953239657,0.5,0.09850734805766088,-0.04345208435605852,0.027527631850801187,0.012979136341581756,0.9863387752178392,0.11528496967995827,0.03563097669425952,0.0,0.4,0.002556259826076901,1.0
